frame,x,y,z,roll,pitch,yaw,tracking_state,n_keypoints,n_map_matches,is_keyframe
0,-0.018274,0.000353,0.061288,4.530,-19.489,-1.061,NOT_INITIALIZED,5065,0,0
1,-0.018821,0.000384,0.063486,4.515,-19.488,-1.068,NOT_INITIALIZED,5073,0,0
2,-0.019538,0.000558,0.066510,4.536,-19.493,-1.095,NOT_INITIALIZED,5092,0,0
3,-0.020715,0.000650,0.068846,4.526,-19.487,-1.069,NOT_INITIALIZED,5079,0,0
4,-0.021607,0.000888,0.071864,4.520,-19.474,-1.073,NOT_INITIALIZED,5104,0,0
5,-0.022455,0.000827,0.073904,4.551,-19.492,-1.049,NOT_INITIALIZED,5081,0,0
6,-0.023480,0.000694,0.076945,4.545,-19.506,-1.052,NOT_INITIALIZED,5105,0,0
7,-0.024480,0.000951,0.080961,4.568,-19.509,-1.090,NOT_INITIALIZED,5095,0,0
8,-0.025211,0.000894,0.084022,4.578,-19.502,-1.113,NOT_INITIALIZED,5131,0,0
9,-0.026585,0.000824,0.087325,4.566,-19.506,-1.089,NOT_INITIALIZED,5151,0,0
10,-0.027324,0.000761,0.091806,4.571,-19.517,-1.147,NOT_INITIALIZED,5187,0,0
11,-0.028678,0.001059,0.095384,4.576,-19.488,-1.142,NOT_INITIALIZED,5170,0,0
12,-0.029966,0.000954,0.099222,4.550,-19.502,-1.137,NOT_INITIALIZED,5201,0,0
13,-0.030999,0.000633,0.102517,4.597,-19.533,-1.153,NOT_INITIALIZED,5167,0,0
14,-0.032082,0.001128,0.107035,4.615,-19.518,-1.193,NOT_INITIALIZED,5175,0,0
15,-0.033831,0.001103,0.110205,4.566,-19.500,-1.152,NOT_INITIALIZED,5156,0,0
16,-0.034905,0.001243,0.114681,4.581,-19.501,-1.196,NOT_INITIALIZED,5130,0,0
17,-0.036385,0.001021,0.118385,4.585,-19.524,-1.192,NOT_INITIALIZED,5158,0,0
18,-0.037990,0.001241,0.122886,4.581,-19.506,-1.199,NOT_INITIALIZED,5159,0,0
19,-0.039319,0.001137,0.126465,4.590,-19.518,-1.221,NOT_INITIALIZED,5141,0,0
20,-0.040830,0.001243,0.131044,4.580,-19.516,-1.226,NOT_INITIALIZED,5228,0,0
21,-0.042269,0.000994,0.134430,4.556,-19.517,-1.216,NOT_INITIALIZED,5213,0,0
22,-0.043880,0.001190,0.139143,4.573,-19.514,-1.239,NOT_INITIALIZED,5201,0,0
23,-0.045314,0.001019,0.142396,4.573,-19.519,-1.223,NOT_INITIALIZED,5186,0,0
24,-0.046948,0.000955,0.146814,4.560,-19.520,-1.220,NOT_INITIALIZED,5233,0,0
25,-0.048272,0.001177,0.151171,4.546,-19.505,-1.255,NOT_INITIALIZED,5231,0,0
26,-0.049708,0.000996,0.154962,4.559,-19.515,-1.258,NOT_INITIALIZED,5132,0,0
