frame_index,timestamp,tracking_state,n_keypoints,n_map_matches,is_keyframe,n_map_points_total
0,0.000000000,NOT_INITIALIZED,5192,0,0,0
1,0.033306327,NOT_INITIALIZED,5242,0,0,0
2,0.066612654,NOT_INITIALIZED,5204,0,0,0
3,0.099918981,NOT_INITIALIZED,5169,0,0,0
4,0.133225309,NOT_INITIALIZED,5146,0,0,0
5,0.166531636,NOT_INITIALIZED,5120,0,0,0
6,0.199837963,NOT_INITIALIZED,5127,0,0,0
7,0.233144290,NOT_INITIALIZED,5115,0,0,0
8,0.266450617,NOT_INITIALIZED,5094,0,0,0
9,0.299756944,NOT_INITIALIZED,5053,0,0,0
10,0.333063272,NOT_INITIALIZED,5089,0,0,0
11,0.366369599,NOT_INITIALIZED,5095,0,0,0
12,0.399675926,NOT_INITIALIZED,5094,0,0,0
13,0.432982253,NOT_INITIALIZED,5099,0,0,0
14,0.466288580,NOT_INITIALIZED,5081,0,0,0
15,0.499594907,NOT_INITIALIZED,5057,0,0,0
16,0.532901235,NOT_INITIALIZED,5079,0,0,0
17,0.566207562,NOT_INITIALIZED,5073,0,0,0
18,0.599513889,NOT_INITIALIZED,5045,0,0,0
19,0.632820216,NOT_INITIALIZED,5035,0,0,0
20,0.666126543,NOT_INITIALIZED,5086,0,0,0
21,0.699432870,NOT_INITIALIZED,5049,0,0,0
22,0.732739198,NOT_INITIALIZED,5036,0,0,0
23,0.766045525,NOT_INITIALIZED,5034,0,0,0
24,0.799351852,OK,5016,210,0,210
25,0.832658179,OK,4996,231,0,263
26,0.865964506,OK,5028,266,0,313
27,0.899270833,OK,4964,264,0,322
28,0.932577160,OK,4971,249,0,325
29,0.965883488,OK,5017,253,0,327
30,0.999189815,OK,4900,237,0,330
31,1.032496142,OK,4916,216,0,330
32,1.065802469,OK,1204,142,0,364
33,1.099108796,OK,1202,120,0,374
34,1.132415123,OK,1203,132,0,396
35,1.165721451,OK,1204,137,0,407
36,1.199027778,OK,1201,136,0,421
37,1.232334105,OK,1206,120,0,424
38,1.265640432,OK,1200,139,0,442
39,1.298946759,OK,1206,118,0,444
40,1.332253086,OK,1203,147,0,472
41,1.365559414,OK,1207,126,0,473
42,1.398865741,OK,1205,136,0,491
43,1.432172068,OK,1208,138,0,497
44,1.465478395,OK,1204,158,0,525
45,1.498784722,OK,1202,146,0,532
46,1.532091049,OK,1204,175,0,555
47,1.565397377,OK,1207,159,0,564
48,1.598703704,OK,1202,168,0,586
49,1.632010031,OK,1202,154,0,590
50,1.665316358,OK,1202,170,0,617
51,1.698622685,OK,1201,175,0,619
52,1.731929012,OK,1202,190,0,645
53,1.765235340,OK,1203,197,0,650
54,1.798541667,OK,1203,174,0,651
55,1.831847994,OK,1203,222,0,702
56,1.865154321,OK,1204,204,0,713
57,1.898460648,OK,1201,231,0,757
58,1.931766975,OK,1203,205,0,766
59,1.965073302,OK,1201,231,0,798
60,1.998379630,OK,1201,215,0,805
61,2.031685957,OK,1202,212,0,826
62,2.064992284,OK,1201,207,0,835
63,2.098298611,OK,1201,213,0,864
64,2.131604938,OK,1201,212,0,870
65,2.164911265,OK,1203,220,0,906
66,2.198217593,OK,1203,210,0,918
67,2.231523920,OK,1203,222,0,944
68,2.264830247,OK,1202,226,0,968
69,2.298136574,OK,1202,214,0,977
70,2.331442901,OK,1203,251,0,1027
71,2.364749228,OK,1202,236,0,1036
72,2.398055556,OK,1200,211,0,1044
73,2.431361883,OK,1203,244,0,1095
74,2.464668210,OK,1202,231,0,1106
75,2.497974537,OK,1202,201,0,1112
76,2.531280864,OK,1201,269,0,1176
77,2.564587191,OK,1205,214,0,1187
78,2.597893519,OK,1203,224,0,1197
79,2.631199846,OK,1204,276,0,1257
80,2.664506173,OK,1202,252,0,1267
81,2.697812500,OK,1202,242,0,1273
82,2.731118827,OK,1202,286,0,1325
83,2.764425154,OK,1205,280,0,1342
84,2.797731481,OK,1202,246,0,1347
85,2.831037809,OK,1208,278,0,1388
86,2.864344136,OK,1202,277,0,1407
87,2.897650463,OK,1202,256,0,1413
88,2.930956790,OK,1203,302,0,1471
89,2.964263117,OK,1205,283,0,1489
90,2.997569444,OK,1203,257,0,1495
91,3.030875772,OK,1204,306,0,1548
92,3.064182099,OK,1204,293,0,1556
93,3.097488426,OK,1202,285,0,1557
94,3.130794753,OK,1207,266,0,1562
95,3.164101080,OK,1205,288,0,1594
96,3.197407407,OK,1203,270,0,1600
97,3.230713735,OK,1202,272,0,1605
98,3.264020062,OK,1202,317,0,1662
99,3.297326389,OK,1207,285,0,1680
100,3.330632716,OK,1204,275,0,1690
101,3.363939043,OK,1204,315,0,1746
102,3.397245370,OK,1202,320,0,1753
103,3.430551698,OK,1203,313,0,1758
104,3.463858025,OK,1206,291,0,1765
105,3.497164352,OK,1207,337,0,1821
106,3.530470679,OK,1206,299,0,1834
107,3.563777006,OK,1202,297,0,1837
108,3.597083333,OK,1203,351,0,1900
109,3.630389660,OK,1203,310,0,1912
110,3.663695988,OK,1207,300,0,1919
111,3.697002315,OK,1203,345,0,1984
112,3.730308642,OK,1204,309,0,1994
113,3.763614969,OK,1206,274,0,2002
114,3.796921296,OK,1204,345,0,2057
115,3.830227623,OK,1206,309,0,2075
116,3.863533951,OK,1201,300,0,2086
117,3.896840278,OK,1205,342,0,2147
118,3.930146605,OK,1206,339,0,2164
119,3.963452932,OK,1204,321,0,2168
120,3.996759259,OK,1204,376,0,2244
121,4.030065586,OK,1210,344,0,2253
122,4.063371914,OK,1206,312,0,2258
123,4.096678241,OK,1204,309,0,2263
124,4.129984568,OK,1203,334,0,2306
125,4.163290895,OK,1205,315,0,2314
126,4.196597222,OK,1208,313,0,2319
127,4.229903549,OK,1204,294,0,2322
128,4.263209877,OK,1202,373,0,2407
129,4.296516204,OK,1205,345,0,2421
130,4.329822531,OK,1204,326,0,2424
131,4.363128858,OK,1202,312,0,2425
132,4.396435185,OK,1205,378,0,2504
133,4.429741512,OK,1206,335,0,2518
134,4.463047840,OK,1208,303,0,2525
135,4.496354167,OK,1206,298,0,2527
136,4.529660494,OK,1205,354,0,2602
137,4.562966821,OK,1205,307,0,2613
138,4.596273148,OK,1205,287,0,2617
139,4.629579475,OK,1204,263,0,2620
140,4.662885802,OK,1203,355,0,2696
141,4.696192130,OK,1203,327,0,2711
142,4.729498457,OK,1201,318,0,2715
143,4.762804784,OK,1201,307,0,2723
144,4.796111111,OK,1201,371,0,2800
145,4.829417438,OK,1203,328,0,2814
146,4.862723765,OK,1203,324,0,2825
147,4.896030093,OK,1203,299,0,2827
148,4.929336420,OK,1201,359,0,2895
149,4.962642747,OK,1203,311,0,2907
150,4.995949074,OK,1204,302,0,2915
151,5.029255401,OK,1203,295,0,2918
152,5.062561728,OK,1203,340,0,2977
153,5.095868056,OK,1201,316,0,2987
154,5.129174383,OK,1201,297,0,2994
155,5.162480710,OK,1204,275,0,2999
156,5.195787037,OK,1203,381,0,3098
157,5.229093364,OK,1201,322,0,3103
158,5.262399691,OK,1203,284,0,3109
159,5.295706019,OK,1205,284,0,3112
160,5.329012346,OK,1203,370,0,3209
161,5.362318673,OK,1205,292,0,3220
162,5.395625000,OK,1204,268,0,3225
163,5.428931327,OK,1204,265,0,3228
164,5.462237654,OK,1201,319,0,3299
165,5.495543981,OK,1204,273,0,3311
166,5.528850309,OK,1205,245,0,3313
167,5.562156636,OK,1204,245,0,3315
168,5.595462963,OK,1203,275,0,3356
169,5.628769290,OK,1204,268,0,3360
170,5.662075617,OK,1204,236,0,3371
171,5.695381944,OK,1203,239,0,3372
172,5.728688272,OK,1204,256,0,3431
173,5.761994599,OK,1201,233,0,3447
174,5.795300926,OK,1201,208,0,3451
175,5.828607253,OK,1204,223,0,3452
176,5.861913580,OK,1204,190,0,3453
177,5.895219907,OK,1201,256,0,3523
178,5.928526235,OK,1203,212,0,3531
179,5.961832562,OK,1201,198,0,3537
180,5.995138889,OK,1203,210,0,3541
181,6.028445216,OK,1202,181,0,3543
182,6.061751543,OK,1201,236,0,3609
183,6.095057870,OK,1203,219,0,3626
184,6.128364198,OK,1201,197,0,3628
185,6.161670525,OK,1205,185,0,3633
186,6.194976852,OK,1204,156,0,3635
187,6.228283179,OK,1201,208,0,3695
188,6.261589506,OK,1202,195,0,3708
189,6.294895833,OK,1200,170,0,3715
190,6.328202160,OK,1202,173,0,3717
191,6.361508488,OK,1201,156,0,3723
192,6.394814815,OK,1200,208,0,3800
193,6.428121142,OK,1206,184,0,3820
194,6.461427469,OK,1205,169,0,3826
195,6.494733796,OK,1204,133,0,3829
196,6.528040123,OK,1201,130,0,3830
197,6.561346451,OK,1205,209,0,3921
198,6.594652778,OK,1201,169,0,3932
199,6.627959105,OK,1204,157,0,3940
200,6.661265432,OK,1202,129,0,3941
201,6.694571759,OK,1203,131,0,3943
202,6.727878086,OK,1203,231,0,4057
203,6.761184414,OK,1203,175,0,4070
204,6.794490741,OK,1204,163,0,4079
205,6.827797068,OK,1202,146,0,4082
206,6.861103395,OK,1203,131,0,4086
207,6.894409722,OK,1201,140,0,4087
208,6.927716049,OK,1201,239,0,4203
209,6.961022377,OK,1205,166,0,4214
210,6.994328704,OK,1204,151,0,4223
211,7.027635031,OK,1203,133,0,4224
212,7.060941358,OK,1203,138,0,4226
213,7.094247685,OK,1204,122,0,4226
214,7.127554012,OK,1203,195,0,4314
215,7.160860340,OK,1203,152,0,4322
216,7.194166667,OK,1204,143,0,4332
217,7.227472994,OK,1200,118,0,4336
218,7.260779321,OK,1204,117,0,4339
219,7.294085648,OK,1202,104,0,4339
220,7.327391975,OK,1202,139,0,4391
221,7.360698302,OK,1202,126,0,4404
222,7.394004630,OK,1206,97,0,4405
223,7.427310957,OK,1201,81,0,4406
224,7.460617284,OK,1204,75,0,4407
225,7.493923611,OK,1203,74,0,4408
226,7.527229938,OK,1203,67,0,4410
227,7.560536265,OK,1201,87,0,4446
228,7.593842593,OK,1202,82,0,4460
